tractID,ARSON,ASSAULT,BATTERY,BURGLARY,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,GAMBLING,HOMICIDE,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PROSTITUTION,PUBLIC INDECENCY,PUBLIC PEACE VIOLATION,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION,total
17031440700,0,14,35,22,2,18,1,21,0,1,0,0,2,0,13,21,0,2,0,13,0,0,0,8,0,0,35,2,210
17031081900,0,20,41,2,0,23,79,6,1,1,0,0,0,1,1,64,0,1,0,5,0,0,2,7,0,0,27,1,282
17031110200,1,10,31,21,1,25,6,7,0,1,1,0,0,0,9,6,0,1,0,24,0,0,1,2,0,3,28,0,178
17031170800,1,12,31,16,0,36,1,8,0,0,0,0,0,0,8,7,0,2,0,14,0,0,0,3,1,0,42,0,182
17031590700,1,14,33,19,0,34,4,2,0,1,1,0,0,0,14,12,0,1,0,13,0,0,1,3,1,0,41,4,199
17031310300,1,8,24,11,2,43,2,7,0,1,0,0,0,1,29,13,1,0,0,4,0,0,3,3,0,0,60,2,215
17031590500,1,5,27,15,2,32,3,5,0,0,1,0,1,0,19,26,0,4,0,9,0,0,2,7,1,1,54,0,215
17031120300,0,10,16,40,1,40,3,13,0,0,0,0,0,0,5,6,0,1,0,18,0,0,1,2,0,0,45,0,201
17031060200,1,5,8,9,1,25,8,5,0,0,0,0,0,0,22,2,0,0,0,8,0,0,3,4,0,0,60,1,162
17031060800,0,6,24,7,0,15,6,14,0,0,0,0,0,0,8,9,0,2,0,16,0,0,1,6,0,0,55,0,169
17031750400,0,9,20,19,0,23,11,10,0,0,0,0,0,0,6,5,0,2,0,10,0,0,0,3,1,0,45,1,165
17031837000,2,34,121,30,3,41,18,10,3,2,2,0,0,1,41,151,0,3,0,21,35,0,4,31,2,0,88,9,652
17031640600,0,21,56,26,0,43,4,10,0,0,0,0,0,0,6,14,0,6,0,15,0,0,3,5,1,0,41,2,253
17031222500,0,9,32,12,1,16,6,1,0,0,0,0,0,1,7,5,0,0,0,3,0,0,3,6,1,0,24,2,129
17031140602,0,22,73,24,1,45,5,9,0,0,1,1,0,0,14,29,0,1,0,28,0,0,5,19,1,0,40,2,320
17031140601,1,6,26,12,1,22,5,3,0,0,0,0,0,0,11,10,0,3,0,7,1,0,1,9,0,0,30,1,149
17031490800,1,40,114,53,3,90,24,18,1,2,2,1,2,0,44,120,0,5,0,45,2,0,3,34,0,0,123,11,738
17031063000,0,31,95,11,0,43,23,30,0,0,0,2,0,2,14,21,0,0,0,24,0,0,13,28,1,0,238,3,579
17031071400,0,3,17,5,1,27,5,28,0,0,1,0,0,0,22,4,0,0,0,7,0,0,0,14,0,0,233,0,367
17031670300,0,37,99,57,1,36,9,7,2,0,2,0,0,1,9,51,0,4,0,15,3,0,0,15,0,0,49,7,404
17031271200,2,29,92,21,0,32,11,5,8,0,2,0,0,1,22,133,0,5,0,20,13,0,0,32,0,0,81,6,515
17031140800,0,19,56,39,2,63,3,7,0,1,0,0,0,3,32,30,0,1,0,20,0,0,5,17,3,0,75,3,379
17031560400,0,1,9,18,0,17,3,7,0,0,1,0,0,0,10,9,0,0,0,6,32,0,3,2,0,0,17,1,136
17031260300,0,31,118,19,3,44,10,3,0,2,0,0,1,0,15,135,0,2,0,28,3,0,1,17,0,0,61,6,499
17031671900,1,24,63,27,1,29,9,4,1,1,1,0,0,0,16,27,0,2,0,16,3,0,0,21,0,0,49,7,302
17031842500,0,57,207,53,2,70,169,10,1,2,3,0,0,0,43,72,1,5,0,61,1,0,4,54,2,0,98,10,925
17031460100,3,76,207,81,6,83,15,8,1,0,2,0,0,3,22,112,0,4,0,55,8,0,6,30,1,0,106,16,845
17031843700,0,13,38,28,2,35,10,13,0,0,1,0,0,0,14,29,0,1,0,25,0,0,9,1,3,1,146,1,370
17031710300,0,29,52,32,0,29,8,11,0,0,1,0,0,0,27,46,0,0,0,20,1,0,1,9,1,0,54,5,326
17031630800,5,18,105,37,3,84,9,9,0,0,2,0,1,2,61,55,0,7,0,30,15,0,13,24,1,0,54,3,538
17031381400,0,38,101,22,2,53,11,10,0,0,2,0,0,0,35,71,0,3,0,23,15,0,4,27,0,0,67,6,490
17031740400,1,17,59,10,0,53,7,6,0,0,1,0,1,2,8,10,0,3,0,22,0,0,2,3,0,1,48,0,254
17031030200,0,12,39,23,1,31,3,19,0,0,0,0,0,3,22,14,0,0,0,13,0,0,2,17,3,1,88,5,296
17031191000,1,13,31,26,2,32,0,9,0,0,4,0,0,2,22,23,0,1,0,15,9,0,3,14,0,0,56,3,266
17031440201,1,61,188,79,1,91,14,32,2,2,2,1,1,0,65,78,0,3,0,69,12,0,6,67,3,1,168,18,965
